Hotel Name,Hotel Class,Hotel Rating,Hotel Quality,Location,Cleanliness,Service,User Name,Review Title,Review Text,Date of Stay,User Rating,Review Likes,Trip Type,Value,Location,Cleanliness,Service,Rooms,Sleep Quality
Holiday Inn Express London Stratford,3.0,4.0,Very good,4.0,4.5,4.0,smiler-7,GREAT HOTEL,"Stayed for 3 nights the room was perfect large bed very comfy,, staff were great and very helpful,, as were the house maids kept the room spotless plenty of  clean towels and reasonable prices at the bar..bathroom excellent and would highly recommend this hotel central to the eastend of London and would certainly stay again.,",October 2019,5.0,269,Traveled as a couple,-1,-1,-1,-1,-1,-1
Holiday Inn Express London Stratford,3.0,4.0,Very good,4.0,4.5,4.0,Bob K,Great customer service and a good value,"The staff was very helpful in providing directions and assistance with other matters.  We really enjoyed the breakfast (hot and cold items), and it is very convenient to Stratford station.  Newspapers provided as well.  We very much enjoyed our 2 night stay there.",September 2019,4.0,15,not mentioned,4.0,-1,-1,5.0,-1,4.0
Holiday Inn Express London Stratford,3.0,4.0,Very good,4.0,4.5,4.0,Rob B,Good value,Had a great experience at the hotel. We arrived early and they held our luggage in a secured area whilst we toured parts of London. Rooms were very large by London standards and very quiet at night. Short walk to transit station. Felt very secure and the free breakfast was plentiful and good. Would stay again.,September 2019,4.0,11,Traveled with family,-1,-1,-1,-1,-1,-1
Holiday Inn Express London Stratford,3.0,4.0,Very good,4.0,4.5,4.0,Steve Medhurst,Feeling ripped off,"I booked this hotel about 3 weeks prior to the Prudential Ride London that started just around the corner.I could not get a single night booking (fair enough) so opted for 2 nights and was quoted £200 for the room on their reservations line for a 2 night stay which given that they advertise rooms at £50-£60 a night was still a bit inflated. I was very clear that this was £200 for 2 nights however I did not receive a confirmation email as promised but I did have a booking reference so was not too bothered.On arrival I was told that the room was £400 for 2 nights which I queried and assured them that I was quoted £200. I was then told it was £200 per night but handed a check in form with £100 per night on this and then told that the second night was £300 which made no sense at all. I spoke with the manager who then confirmed that regardless it was still £400 so take it or leave it (my words not hers).Having trained up for this event for 9 months and standing there with my bike and kit I did not have much choice so reluctantly paid up.No complaints about the hotel and facilities, the room was compact but well fitted and comfortable and they even put on breakfast for competitors at 4.30 am on Sunday morning (had to be at the start by 5,20 am). On another occasion I would highly recommend this place as it is a stones throw from the Olympic Park and probably at more reasonable rates.Definitely feel ripped off and my charity ride costing twice what i had bargained for.",August 2019,4.0,1,not mentioned,-1,5.0,-1,4.0,-1,4.0
Holiday Inn Express London Stratford,3.0,4.0,Very good,4.0,4.5,4.0,ARich976,Cozy room but nice facility,"Our stay was pleasant. Breakfast was the same daily, but it did have vegetarian options which we appreciated. The hotel is located about a 5 minute walk from a huge mall and the train station which was great for us! The convenience was awesome.The maid didn’t really do that good of a job with cleaning so we did most of the cleaning ourselves. They’re a bit stingy with the towels so you really have to keep asking if you need extras.",July 2019,3.0,11,Traveled with family,-1,-1,-1,-1,-1,-1
Holiday Inn Express London Stratford,3.0,4.0,Very good,4.0,4.5,4.0,kizzwhizzy56,Great stay,Stayed here with friends for Ride London and it was perfect for our needs. The staff could not have been more helpful and breakfast was served early so we could all eat before cycling. We had our evening meal here and it was good value.,August 2019,5.0,18,Traveled with friends,-1,-1,-1,-1,-1,-1
Holiday Inn Express London Stratford,3.0,4.0,Very good,4.0,4.5,4.0,ShazmeisterP,Everything Perfect,"Booked here months ago as was due to participate in the RideLondon 100 cycle event.  Unfortunately had to defer, but still travelled south so didn't waste the room.Great check-in from Jana on arrival and all the staff were fab throughout our stay.  We frequently would arrive back at the hotel and ask for a large glass of ice and they were more than happy to oblige.  Included breakfast was sufficient and we ate here on one evening and the food was good.  Will definitely be trying to get into this hotel next year when I participate in the event.",August 2019,5.0,"1,209",Traveled as a couple,-1,-1,-1,-1,-1,-1
Holiday Inn Express London Stratford,3.0,4.0,Very good,4.0,4.5,4.0,Sue,Another great stay!,"We've stayed here several times and although Stratford is out of the city it's on the Jubilee, Central and dlr train lines which run every few minutes into the centre of London. There is also a huge Westfield shopping centre just 10-15mins walk away with loads of restaurants. The dlr high street station is just a few minutes walk from the hotel and it goes to London City Airport. The hotel itself is clean and welcoming and there is a buffet breakfast included which is fab! Definitely recommend staying here.",August 2019,5.0,511,Traveled with family,-1,-1,-1,-1,-1,-1
Holiday Inn Express London Stratford,3.0,4.0,Very good,4.0,4.5,4.0,Jetty,This hotel is nice.,The room is quite clean and comfortable. Staffs are lovely and check-in process did not take long. The hotel is not far from train station (about 5 minutes walk) and the mall is right at the station. The this is in the morning hotel does not have enough space for guests for breakfast if we come like 9 am. but all other things are good.,August 2019,4.0,198,Traveled solo,-1,-1,-1,-1,-1,-1
Holiday Inn Express London Stratford,3.0,4.0,Very good,4.0,4.5,4.0,Diana K,I am very Pleased,I would like to express my deep gratitude and extend my thanks for all the helpful information Marco have given me. It is really because of Marco that we decided to make these 12 days worth of bookings.,July 2019,5.0,1,Traveled with family,-1,-1,-1,-1,-1,-1
Holiday Inn Express London Stratford,3.0,4.0,Very good,4.0,4.5,4.0,Waheed Zafar,Friendliest Concierge,Met the most hard working and smiling staff in a hotel ever. Was working all on his own with a trainee and could not smile enough or help. Made our whole family welcome acknowledge the fact I was a member let us check out and e extremely helpful. Mazz was his name on duty 27th july 2019.,July 2019,5.0,379,Traveled with family,-1,-1,-1,-1,-1,-1
Holiday Inn Express London Stratford,3.0,4.0,Very good,4.0,4.5,4.0,matthewdonald64,"It's a hotel, erm... that's about all I can say.","There is nothing wrong with this place. It's a hotel that is situated in a place that was close to where I needed it to be. The front desk staff tried really hard and that is to be commended, the room in which we stayed had the requisite number of beds and it also had an ensuite bathroom. The bathroom was useful for using the toilet and for washing, the beds proved adequate for the purpose of sleeping.One great point was the breakfast service. This started early and that suited us because we needed to be out early, the range of food was good and quantities plentiful. Breakfast was included in the price of the room.This review would not be complete if I didn't mention one irritating point that upset me. When I booked the room they said that tea and coffee making equipment was provided in the room, however, there were only two teabags and four UHT milks provided. I'm sure everyone would agree that this is a woefully inadequate provision for an English hotel?So in summary, it's a hotel close to somewhere nearby, the service is adequate if you're not keen on tea.",July 2019,4.0,15,Traveled with family,-1,4.0,-1,5.0,3.0,-1
Holiday Inn Express London Stratford,3.0,4.0,Very good,4.0,4.5,4.0,Arthur B,Excellent service,"Walked in and booked 2 rooms after a horrible experience at the Stratford Hunsens Olympic Rooms.  The two ladies at the front desk were great. Understood our problem and made sure we were able to book the 2 rooms. Unfortunately they were booked solid after our first night, otherwise we would have stayed 6 nights. Highly recommend and will keep Holiday Inn in the top of my preference list",July 2019,5.0,50,Traveled with family,-1,-1,-1,-1,-1,-1
Holiday Inn Express London Stratford,3.0,4.0,Very good,4.0,4.5,4.0,Arthur B,Best Hotel Experience I ever encountered,"Originally booked across the street from the Holiday Inn Express at the Stratford Olympic Rooms, Stratford Olympic rooms was a DISASTER and had to evacuate due to strong toxic orders and filthy conditions.  At around 9:00pm on June 28th, went to the Holiday Inn Express and was greeted by an exceptional front desk representive.  I explained my situation and need for immediate shelter for me and also for my daughter and her boy friend ( by the way, I was assisted by two representatives, don't know their names, but they were wonderful)  The representatives were able to book us for the evening, which was a God sent.  Unfortunately, they were unable to book us beyond the evening due to the hotel being full for the Red Sox-Yankees baseball game.  They connected with other local Holiday Inns, but they were also booked, they referred us to the Travel Lodge, across the street, and they were able to find a a convenient location after our night at the Holiday Inn.  The rooms were great.  Clean, comfortable.  The breakfast the next morning was very good and again  the morning staff was very helpful..The Holiday Inn and the staff made what could have been a complete disaster a very positive experience.  Based on this experience, I will go out of my way to stay at Holiday Inns and Holiday Inn Express again.  Thank you",June 2019,5.0,7,Traveled with family,-1,-1,-1,5.0,5.0,5.0
Holiday Inn Express London Stratford,3.0,4.0,Very good,4.0,4.5,4.0,mreurovision,Lovely hotel.,We did enjoy our four night stay here. The hotel is very clean and tidy. The breakfast was ample. The restaurant food was really good quality. You are close enough to Stratford but far enough away for it to be quiet. In our room the blackout curtains were very good quality and did the job. Our only criticism was the double bed felt really small. Would I stay here again? Yes 😃,July 2019,4.0,81,Traveled as a couple,-1,-1,-1,-1,-1,-1
Holiday Inn Express London Stratford,3.0,4.0,Very good,4.0,4.5,4.0,Mich,Breakfast bonus,"Very clean and comfortable, a spacious shower, much more preferable than the tiny plastic cubicles in alot of hotels.I was on the second floor facing the busy main road and didn't hear any traffic which I thought I would, I slept between 3pm-6pm and didn't get woken up by the traffic.Fantastic location, 10mins walk to Stratford Station, a tesco is 2 mins up the road & a 7/11 opposite the hotel.Would highly recommend & would stay again.Breakfast is included in the price.",June 2019,5.0,185,Traveled on business,-1,-1,-1,-1,-1,-1
Holiday Inn Express London Stratford,3.0,4.0,Very good,4.0,4.5,4.0,Vassilis G,One night stay,"The room was great. Spacious, clean and quiet. Location is ok. 20 min from Stratford central station. Breakfast was very  poor. Service was nice. An ok choice for a night stay as it is business oriented.",June 2019,4.0,109,Traveled on business,-1,-1,-1,-1,-1,-1
Holiday Inn Express London Stratford,3.0,4.0,Very good,4.0,4.5,4.0,Ahmad A,"Brilliant hotel, fantastic location and breakfast included","I arrived at the holiday inn express and was greeted by juiletta. She was very receptive and greeted me with a smile. I asked for a room on a higher floor and facing the back of the hotel (the front faces the road) and she quickly found me a room to suit on the fifth floor (room 516). She informed me that being an ihg member I could check-out later than non-members (at 2pm) and the breakfast was included in the rate and could be found on the ground floor. I was also given the WiFi code too which is another win for holiday inn (free WiFi!!!!)I walked into the room and was amazed at the fact that it had functioning air conditioning (Bare in mind this is supposedly only a 3 star hotel!!!). The room was clean and well presented, bathroom clean and well presented and had an ironing board, an iron, hairdryer and in-room safe!! Speechless!!! Had a good nights sleep as a range of pillows of varying hardnesses are provided to cater for different preferences. Went down for breakfast in the morning and the range is fantastic! Croissants, toast, cereal, fruit, tea, coffee, juices etc. You even have the option to take your breakfast away in a paper bag.All in all a fantastic hotel!! I will definitely be returning!! I usually stay in the travelodge nearby but after seeing this hotel for cheaper I can honestly say that travelodge are WAY behind the competition. Take my advice and stay here!!! Free breakfast and WiFi (travelodge don’t offer either)!!!!",June 2019,5.0,51,Traveled solo,-1,-1,-1,-1,-1,-1
Holiday Inn Express London Stratford,3.0,4.0,Very good,4.0,4.5,4.0,alan f,friendly welcoming hotel,A great room with everything you could want. A warm welcome on arrival and nothing was too much trouble. Breakfast was really good and little touches like free news papers and hot drinks throughout the day made it a great place to base yourself when in London.,June 2019,5.0,53,Traveled with family,-1,4.0,-1,5.0,-1,-1
Holiday Inn Express London Stratford,3.0,4.0,Very good,4.0,4.5,4.0,TRippingale,Everything you need,"Stayed for a weekend whilst visiting London. Good location for site seeing Central London and also close to Westfield Stratford.  Great staff, nice rooms with comfortable bed and good breakfast. Would definitely stay again.",June 2019,4.0,29,Traveled as a couple,-1,-1,-1,-1,-1,-1
Holiday Inn Express London Stratford,3.0,4.0,Very good,4.0,4.5,4.0,Jake B,Good base for seeing London.,"Booked primarily based on location. Only a 5 minute walk to Stratford station and a 2-3 minute walk to Stratford High Street DLR.When we checked in we were allocated a disabled room, we prefer a normal shower rather than a wet room and after asking at reception we were promptly given another regular room. Room itself was great, comfortable bed and pillows. Air conditioning worked well. Huge shower and nice modern bathroom. Very much appreciated the free breakfast which also included cooked breakfast.Would stay here again when I visit London.",June 2019,4.0,28,Traveled as a couple,-1,-1,-1,-1,-1,-1
Holiday Inn Express London Stratford,3.0,4.0,Very good,4.0,4.5,4.0,David O,Mid Week Break,"Our second two night stay at this hotel.Room was clean and comfortable, with a great shower, tea and coffee facilities, safe and iron & ironing board. Very friendly staff, easy check in and able to leave luggage after check out for collection later.Nice breakfast with good hot and cold options.An easy walk from Stratford stations, Westfield# and the Olympic stadium.Will we use this hotel again? Definitely",May 2019,4.0,60,Traveled as a couple,-1,-1,-1,-1,-1,-1
Holiday Inn Express London Stratford,3.0,4.0,Very good,4.0,4.5,4.0,TheHappyHikers,GREAT PLACE FOR AN OVERNIGHT STAY,"Booked this hotel as we required accommodation in Canary Wharf area.Situated in an easy to get to place with trains a few minutes walk away and for those driving in there is ample on-site parking.Receptionist was very friendly and cheerful and checked us in early. On arrival to the room we noticed that the carpet was not very clean and asked to be moved, which was no problem at all and because of the inconvenience we were offered a complimentary drink from the bar!The facilities were clean but basic but just what we needed for our stopover, we didn't require anything 5star or plush.It was the hottest day of the year so far and we did have a little difficulty in sleeping due to the noisy air con, which we eventually turned off.The Holiday Inn Express rate included breakfast and there was a big selection of cereals, fruit, yogurt, hot buffet, coffee, teas and breads. Some folk had plates piled high with the full English! We had what we wanted and were set up for the day.On check out the same chirpy receptionist asked about our stay and wished us a lovely day.Recommended and if in this area of London again we would definately return to this hotel.",June 2019,4.0,188,Traveled as a couple,-1,-1,-1,5.0,4.0,3.0
Holiday Inn Express London Stratford,3.0,4.0,Very good,4.0,4.5,4.0,Byevad,Made life very easy,"Stayed 2 nights with my 3 and 5 year old boys on my own as my husband was working in London but was not staying with us. The staff were really excellent. Lovely bloke called Mo on reception who was really helpful, very pleasant and very efficient. Also a lovely young woman called Hashin (?) who was in the restaurant at breakfast was so sweet and watched one of my boys whilst I took the other to the toilet. Both members of staff were really kind, interacted really lovely with my children and seemed to understood the challenges of being on my own with two very lively boys. On the day we were due to checkout, my husband joined us and brought the boys to breakfast. Hashin noted my absence and checked very politely as to where I was! We both very much welcomed this vigilance. I think this hotel is possibly used mainly by people on business. We stayed here because it was very good value and the location suited us to visit friends in East London and get into London quite easily. Everything in the room worked (and I think they put us in a quiet area of the hotel) and it was dead easy. On site parking was very limited but following advice we got there early and it was very handy being able to get stuff from the car to the room etc. Couldn't recommend this hotel enough. xxx And the breakfast was lovely too xxx",May 2019,5.0,16,Traveled with family,-1,-1,5.0,5.0,5.0,-1
Holiday Inn Express London Stratford,3.0,4.0,Very good,4.0,4.5,4.0,Puss100,Great Hotel,"This is a great hotel, located a short walk from Stratford station and shopping centre. Rooms are clean, comfortable and well maintained. Breakfast was very nice with plenty of choice. Would certainly stay again.",May 2019,4.0,364,Traveled on business,-1,-1,-1,-1,-1,-1
Holiday Inn Express London Stratford,3.0,4.0,Very good,4.0,4.5,4.0,MrShanghai,Highly recommended,"Great hotel. Location is great if you can walk 10 min to Stratford although the key is to take the bus, and there are plenty, to Stratford, or in the opposite direction to the City. Great stay and reasonable rates. Breakfast is adequate.",May 2019,4.0,106,Traveled on business,5.0,-1,5.0,4.0,-1,-1
Holiday Inn Express London Stratford,3.0,4.0,Very good,4.0,4.5,4.0,Noam L,Comfortable and not expensive. Good location,"The hotel is located in the residential neighborhood Stratford. Excellent location. It takes about 15 minutes to walk to the Stratford station, where you can find everything you need. Or 2 minutes by bus. From there you can take the Jubilee and Central Tube lines, to central London. Helpful and nice Staff at the reception. Good regular hotel room. A little bit too small for 3 people. English breakfast has quite a lot of variety. Enough to start the day. There are fruits, but not vegetables. Coffee from the machine is ok. Food (dinner) at the bar was good, and reasonably priced.We had only one issue: At the first 2 days the room has been poorly cleaned. After we complained, it was ok during the next days.The room price is very reasonable, comparing to very high prices in the center of London. Good price for value. We will certainly return.",April 2019,5.0,903,Traveled with family,-1,5.0,-1,5.0,4.0,-1
Holiday Inn Express London Stratford,3.0,4.0,Very good,4.0,4.5,4.0,SweetJuice,Birthday trip,"I loved the location of this hotel. Within walking distance to bus and metro station. In the area were shops,plazas,restaurants, malls,casinos,laundromat,parks. We didn't want for anything, it was all right there.I will stay here again.  Free buffet breakfast and the room service menu food was absolutely delicious.",April 2019,4.0,149,Traveled with friends,-1,-1,-1,-1,-1,-1
Holiday Inn Express London Stratford,3.0,4.0,Very good,4.0,4.5,4.0,Maysiekipps,Take That Concert,A very clean an nice hotel with friendly staff in which I have enjoyed staying in.  I think if I was to return to London I’d prefer to stay closer to the o2 Arena so I’d probably choose the Holiday Inn at Greenwich  ext time purely for location reasons.  I would recommend anyone to stay in the Holiday Inn.,May 2019,5.0,102,Traveled with friends,-1,-1,-1,-1,-1,-1
Holiday Inn Express London Stratford,3.0,4.0,Very good,4.0,4.5,4.0,Amit P,Good balanced commercial property,"Nothing much to say, you will get what you paid for, worth every penny.Good staff great service.Good room, specially availability of charging and switch outlets.Food is good nothing special nor anything to complain for.When not sure what to choose. Book here.",April 2019,5.0,7,Traveled on business,-1,-1,-1,-1,-1,-1
Holiday Inn Express London Stratford,3.0,4.0,Very good,4.0,4.5,4.0,Kerry R,Pleasant stay,Great location close to Westfield Shopping centre and The Olympic Park. Room was great and you couldn't hear traffic outside lovely comfy bed and pillows lots of extras and nice buffet style breakfast,April 2019,5.0,4,Traveled as a couple,-1,-1,-1,-1,-1,-1
Holiday Inn Express London Stratford,3.0,4.0,Very good,4.0,4.5,4.0,Maria-Grace S,"Excellent staff, fab location, comfy bed and great food!","I recently stayed overnight for a conference and had a really enjoyable stay. Upon arrival I was greatly very nicely and checked in straight away. My room was spacious with a giant bed and a selection of pillows which I then spent more time that I should getting the mix right. This led to an incredible night sleep though and it was so quiet, especially given the great location. The breakfast was plentiful and lunch was incredible. There were even lots of alternatives for Vegans which was so nice as still quite rare in some chain hotels. The Conference Team were always on hand refreshing our water and we were well looked after. I would definitely recommend this hotel to stay, for business or pleasure. The Team really were delightful and nothing was too much.",April 2019,5.0,11,Traveled on business,-1,-1,-1,5.0,5.0,-1
Holiday Inn Express London Stratford,3.0,4.0,Very good,4.0,4.5,4.0,Nerissa W,couples break,"very pleased with our stay here, pleasant staff, rooms adequate big bed. Can recommend the breakfast included in the price, would stay again. Westfield close by also with plenty of places to eat.Drinks reasonably priced also.",March 2019,4.0,84,Traveled as a couple,-1,4.0,4.0,4.0,-1,-1
Holiday Inn Express London Stratford,3.0,4.0,Very good,4.0,4.5,4.0,Greg C,Excellent stay,"I was greeted by a new team member on training who gave me all the required information always with a smile and even offered me an extra key even though only for one. Getting into the room I was surprised to be offered a choice of soft or firm pillows on a bed which was lovely and comfy nice view out of room, very clean, no noise. The lunch the following day was probably the best I have had in any hotel.",April 2019,5.0,3,Traveled on business,-1,5.0,-1,5.0,-1,5.0
Holiday Inn Express London Stratford,3.0,4.0,Very good,4.0,4.5,4.0,1978alinapaun,Amazing team,"Hi, I had a meeting at the hotel and stayed the night before.  I was greeted with the biggest smile and given all the information needed without having to ask for it - that is why I voted for Edita.The breakfast and lunch are worthy of a nomination too as they were high level of presentation and the hospitality was at a different level.Thank you all for a great experience.Alina.",April 2019,5.0,1,Traveled on business,-1,-1,-1,-1,-1,-1
Holiday Inn Express London Stratford,3.0,4.0,Very good,4.0,4.5,4.0,GB25,Friendly team,"On my visit I have noticed the friendly staff members, always happy to help, nice breakfast and lunch. The rooms are very clean, nice layout, I had the chance to press my evening outfit as an iron and ironing board were available in the room.A great experience!",April 2019,5.0,1,Traveled solo,5.0,-1,-1,5.0,-1,5.0
Holiday Inn Express London Stratford,3.0,4.0,Very good,4.0,4.5,4.0,Shani G,Wonderful over night stay,"Easy and fast check in, staff were friendly and efficient. Room was fab and my bed was oh so comfortable. Great shower. Breakfast was plentiful and very tasty. Close by to great restaurants and of course shopping!  Thank you Holiday Inn Express.",April 2019,5.0,1,Traveled on business,5.0,-1,5.0,5.0,-1,-1
Holiday Inn Express London Stratford,3.0,4.0,Very good,4.0,4.5,4.0,Steven M,Fantastic Stay! Fanstastic Staff,Lovely room and excellent food! I really thought it was a nice to see a nice building. The reception area was nice and the staff we so welcoming and very smiley. The inside of the room was very professional and stylish.,April 2019,5.0,4,Traveled on business,5.0,-1,-1,5.0,5.0,-1
Holiday Inn Express London Stratford,3.0,4.0,Very good,4.0,4.5,4.0,JYach,Very good accommodations,"HiI love unashamed three star accommodationsSo cleaver this hotel - super service, great rooms and comfy beds, nice breakfastAnd, close to the  Olympic Village, Transport nodes and Stratford CentreI so enjoyed my four day stayWell done and thanks!",March 2019,5.0,268,Traveled on business,-1,-1,-1,-1,-1,-1
